"AIC";"Stability";"Predictor";"ID"
"1";752.769688351717;"Absolute distance";"Cover";1
"2";613.107205809114;"Absolute distance";"Cover + Spatial 
 structure";1
"3";720.310284530334;"Absolute distance";"Spatial 
 structure";1
"4";669.573097788306;"Relative distance";"Cover";1
"5";573.272500258668;"Relative distance";"Cover + Spatial 
 structure";1
"6";722.471395892927;"Relative distance";"Spatial 
 structure";1
"7";778.685671550569;"Size tipping";"Cover";1
"8";746.935658145099;"Size tipping";"Cover + Spatial 
 structure";1
"9";778.021388989478;"Size tipping";"Spatial 
 structure";1
"10";742.747781626852;"Absolute distance";"Cover";2
"11";648.512959921483;"Absolute distance";"Cover + Spatial 
 structure";2
"12";760.810598413931;"Absolute distance";"Spatial 
 structure";2
"13";674.789293472619;"Relative distance";"Cover";2
"14";624.179466093353;"Relative distance";"Cover + Spatial 
 structure";2
"15";751.703089626556;"Relative distance";"Spatial 
 structure";2
"16";771.513586899746;"Size tipping";"Cover";2
"17";741.960931397371;"Size tipping";"Cover + Spatial 
 structure";2
"18";770.69316672144;"Size tipping";"Spatial 
 structure";2
"19";760.719483013317;"Absolute distance";"Cover";3
"20";665.519925453644;"Absolute distance";"Cover + Spatial 
 structure";3
"21";750.285880965805;"Absolute distance";"Spatial 
 structure";3
"22";688.656079397188;"Relative distance";"Cover";3
"23";612.263406329364;"Relative distance";"Cover + Spatial 
 structure";3
"24";756.451143109388;"Relative distance";"Spatial 
 structure";3
"25";794.65763984009;"Size tipping";"Cover";3
"26";751.988988719738;"Size tipping";"Cover + Spatial 
 structure";3
"27";769.267121781837;"Size tipping";"Spatial 
 structure";3
"28";737.701516096997;"Absolute distance";"Cover";4
"29";646.625514400397;"Absolute distance";"Cover + Spatial 
 structure";4
"30";764.289116327585;"Absolute distance";"Spatial 
 structure";4
"31";646.194608129785;"Relative distance";"Cover";4
"32";593.724899357352;"Relative distance";"Cover + Spatial 
 structure";4
"33";744.748448506913;"Relative distance";"Spatial 
 structure";4
"34";800.726971752144;"Size tipping";"Cover";4
"35";767.687755297792;"Size tipping";"Cover + Spatial 
 structure";4
"36";782.381921296005;"Size tipping";"Spatial 
 structure";4
"37";762.131215278687;"Absolute distance";"Cover";5
"38";671.535233791018;"Absolute distance";"Cover + Spatial 
 structure";5
"39";766.032604931478;"Absolute distance";"Spatial 
 structure";5
"40";696.144901300691;"Relative distance";"Cover";5
"41";641.732098279594;"Relative distance";"Cover + Spatial 
 structure";5
"42";767.67457447836;"Relative distance";"Spatial 
 structure";5
"43";786.434058434245;"Size tipping";"Cover";5
"44";757.054161455776;"Size tipping";"Cover + Spatial 
 structure";5
"45";782.118626846819;"Size tipping";"Spatial 
 structure";5
"46";742.327767770924;"Absolute distance";"Cover";6
"47";619.811488854393;"Absolute distance";"Cover + Spatial 
 structure";6
"48";737.719724742427;"Absolute distance";"Spatial 
 structure";6
"49";708.982148408737;"Relative distance";"Cover";6
"50";645.301004749103;"Relative distance";"Cover + Spatial 
 structure";6
"51";775.495408355295;"Relative distance";"Spatial 
 structure";6
"52";796.248537348182;"Size tipping";"Cover";6
"53";774.828306364723;"Size tipping";"Cover + Spatial 
 structure";6
"54";792.843431612756;"Size tipping";"Spatial 
 structure";6
"55";751.344441921513;"Absolute distance";"Cover";7
"56";667.064753704065;"Absolute distance";"Cover + Spatial 
 structure";7
"57";769.806797226684;"Absolute distance";"Spatial 
 structure";7
"58";706.861947937004;"Relative distance";"Cover";7
"59";633.233387268491;"Relative distance";"Cover + Spatial 
 structure";7
"60";786.881181401868;"Relative distance";"Spatial 
 structure";7
"61";770.962712322025;"Size tipping";"Cover";7
"62";734.41860265026;"Size tipping";"Cover + Spatial 
 structure";7
"63";764.855443958881;"Size tipping";"Spatial 
 structure";7
"64";738.676939105817;"Absolute distance";"Cover";8
"65";649.43118688158;"Absolute distance";"Cover + Spatial 
 structure";8
"66";745.267775459031;"Absolute distance";"Spatial 
 structure";8
"67";687.608680135551;"Relative distance";"Cover";8
"68";652.664119930864;"Relative distance";"Cover + Spatial 
 structure";8
"69";770.896653717467;"Relative distance";"Spatial 
 structure";8
"70";793.308182154361;"Size tipping";"Cover";8
"71";745.610026613083;"Size tipping";"Cover + Spatial 
 structure";8
"72";763.220032577455;"Size tipping";"Spatial 
 structure";8
"73";753.71998815273;"Absolute distance";"Cover";9
"74";651.277175277059;"Absolute distance";"Cover + Spatial 
 structure";9
"75";740.638082613599;"Absolute distance";"Spatial 
 structure";9
"76";712.498457330707;"Relative distance";"Cover";9
"77";637.701073916816;"Relative distance";"Cover + Spatial 
 structure";9
"78";754.065890188347;"Relative distance";"Spatial 
 structure";9
"79";801.490924083294;"Size tipping";"Cover";9
"80";777.420240820462;"Size tipping";"Cover + Spatial 
 structure";9
"81";800.041596023003;"Size tipping";"Spatial 
 structure";9
"82";734.278595254722;"Absolute distance";"Cover";10
"83";674.67576019443;"Absolute distance";"Cover + Spatial 
 structure";10
