"AIC";"Stability";"Predictor";"ID"
"1";559.556730612109;"Absolute distance";"Cover";1
"2";520.324413461099;"Absolute distance";"Cover + Spatial 
 structure";1
"3";591.370702172465;"Absolute distance";"Spatial 
 structure";1
"4";466.261999091946;"Relative distance";"Cover";1
"5";432.318983894986;"Relative distance";"Cover + Spatial 
 structure";1
"6";576.833850206396;"Relative distance";"Spatial 
 structure";1
"7";574.34324273229;"Absolute distance";"Cover";2
"8";517.973457314893;"Absolute distance";"Cover + Spatial 
 structure";2
"9";616.603513342118;"Absolute distance";"Spatial 
 structure";2
"10";470.261661289059;"Relative distance";"Cover";2
"11";420.135055427773;"Relative distance";"Cover + Spatial 
 structure";2
"12";592.278182427546;"Relative distance";"Spatial 
 structure";2
"13";582.615830672937;"Absolute distance";"Cover";3
"14";536.4341782633;"Absolute distance";"Cover + Spatial 
 structure";3
"15";620.480324475765;"Absolute distance";"Spatial 
 structure";3
"16";484.199649888674;"Relative distance";"Cover";3
"17";441.6325242436;"Relative distance";"Cover + Spatial 
 structure";3
"18";600.943477679161;"Relative distance";"Spatial 
 structure";3
"19";554.343834835574;"Absolute distance";"Cover";4
"20";521.423372743309;"Absolute distance";"Cover + Spatial 
 structure";4
"21";584.81825467439;"Absolute distance";"Spatial 
 structure";4
"22";456.765883159287;"Relative distance";"Cover";4
"23";427.62081256076;"Relative distance";"Cover + Spatial 
 structure";4
"24";558.423229087264;"Relative distance";"Spatial 
 structure";4
"25";553.460945856575;"Absolute distance";"Cover";5
"26";479.426394123034;"Absolute distance";"Cover + Spatial 
 structure";5
"27";545.335356164546;"Absolute distance";"Spatial 
 structure";5
"28";453.848342112488;"Relative distance";"Cover";5
"29";384.953494866011;"Relative distance";"Cover + Spatial 
 structure";5
"30";519.74187996784;"Relative distance";"Spatial 
 structure";5
"31";539.542584109725;"Absolute distance";"Cover";6
"32";466.905751397877;"Absolute distance";"Cover + Spatial 
 structure";6
"33";523.64279574384;"Absolute distance";"Spatial 
 structure";6
"34";438.653031961056;"Relative distance";"Cover";6
"35";374.807942509524;"Relative distance";"Cover + Spatial 
 structure";6
"36";512.752722270357;"Relative distance";"Spatial 
 structure";6
"37";584.434687113391;"Absolute distance";"Cover";7
"38";521.056509586374;"Absolute distance";"Cover + Spatial 
 structure";7
"39";594.674364378734;"Absolute distance";"Spatial 
 structure";7
"40";480.683123606575;"Relative distance";"Cover";7
"41";425.197275023508;"Relative distance";"Cover + Spatial 
 structure";7
"42";566.646016210698;"Relative distance";"Spatial 
 structure";7
"43";533.242729478559;"Absolute distance";"Cover";8
"44";479.346874950011;"Absolute distance";"Cover + Spatial 
 structure";8
"45";552.916423124797;"Absolute distance";"Spatial 
 structure";8
"46";421.437408186825;"Relative distance";"Cover";8
"47";376.817627357524;"Relative distance";"Cover + Spatial 
 structure";8
"48";526.539526845711;"Relative distance";"Spatial 
 structure";8
"49";543.989236150521;"Absolute distance";"Cover";9
"50";506.985248751713;"Absolute distance";"Cover + Spatial 
 structure";9
"51";600.003767550563;"Absolute distance";"Spatial 
 structure";9
"52";437.184321641991;"Relative distance";"Cover";9
"53";402.490682349147;"Relative distance";"Cover + Spatial 
 structure";9
"54";566.106876978087;"Relative distance";"Spatial 
 structure";9
"55";475.297134993172;"Absolute distance";"Cover";10
"56";432.669913289746;"Absolute distance";"Cover + Spatial 
 structure";10
"57";506.237712147388;"Absolute distance";"Spatial 
 structure";10
"58";361.761902757944;"Relative distance";"Cover";10
"59";321.004721859921;"Relative distance";"Cover + Spatial 
 structure";10
"60";472.330572992647;"Relative distance";"Spatial 
 structure";10
"61";613.611988810195;"Absolute distance";"Cover";11
"62";561.770956079971;"Absolute distance";"Cover + Spatial 
 structure";11
"63";599.609915212851;"Absolute distance";"Spatial 
 structure";11
"64";517.481877951597;"Relative distance";"Cover";11
"65";471.43623428911;"Relative distance";"Cover + Spatial 
 structure";11
"66";566.692635686406;"Relative distance";"Spatial 
 structure";11
"67";587.641604651827;"Absolute distance";"Cover";12
"68";547.425297850399;"Absolute distance";"Cover + Spatial 
 structure";12
"69";578.060447857482;"Absolute distance";"Spatial 
 structure";12
"70";494.479410851916;"Relative distance";"Cover";12
"71";458.82422130299;"Relative distance";"Cover + Spatial 
 structure";12
"72";539.578690471717;"Relative distance";"Spatial 
 structure";12
"73";502.653739618978;"Absolute distance";"Cover";13
"74";458.918309100231;"Absolute distance";"Cover + Spatial 
 structure";13
"75";543.746208108392;"Absolute distance";"Spatial 
 structure";13
"76";382.771397538549;"Relative distance";"Cover";13
"77";345.92102950571;"Relative distance";"Cover + Spatial 
 structure";13
"78";516.903243798457;"Relative distance";"Spatial 
 structure";13
"79";560.631080126804;"Absolute distance";"Cover";14
"80";529.138395297904;"Absolute distance";"Cover + Spatial 
 structure";14
"81";584.6820953688;"Absolute distance";"Spatial 
 structure";14
"82";468.80525599196;"Relative distance";"Cover";14
"83";440.270706722513;"Relative distance";"Cover + Spatial 
 structure";14
"84";557.257963772693;"Relative distance";"Spatial 
 structure";14
"85";549.132534528453;"Absolute distance";"Cover";15
"86";505.227332622336;"Absolute distance";"Cover + Spatial 
 structure";15
"87";556.46359482463;"Absolute distance";"Spatial 
 structure";15
"88";459.233548374151;"Relative distance";"Cover";15
"89";422.126770613578;"Relative distance";"Cover + Spatial 
 structure";15
"90";539.249036913437;"Relative distance";"Spatial 
 structure";15
"91";543.45287352614;"Absolute distance";"Cover";16
"92";482.110524291343;"Absolute distance";"Cover + Spatial 
 structure";16
"93";525.64517483727;"Absolute distance";"Spatial 
 structure";16
"94";443.046703976495;"Relative distance";"Cover";16
"95";384.59580291322;"Relative distance";"Cover + Spatial 
 structure";16
"96";488.12871775292;"Relative distance";"Spatial 
 structure";16
"97";520.321793315741;"Absolute distance";"Cover";17
"98";471.590677224462;"Absolute distance";"Cover + Spatial 
 structure";17
"99";515.750894079609;"Absolute distance";"Spatial 
 structure";17
"100";418.303006919232;"Relative distance";"Cover";17
"101";373.817663361387;"Relative distance";"Cover + Spatial 
 structure";17
"102";486.204129139325;"Relative distance";"Spatial 
 structure";17
"103";597.347126703225;"Absolute distance";"Cover";18
"104";505.632003307812;"Absolute distance";"Cover + Spatial 
 structure";18
"105";562.063883286599;"Absolute distance";"Spatial 
 structure";18
"106";512.790319282428;"Relative distance";"Cover";18
"107";430.301665462108;"Relative distance";"Cover + Spatial 
 structure";18
"108";546.544003027332;"Relative distance";"Spatial 
 structure";18
"109";515.529080184754;"Absolute distance";"Cover";19
"110";450.845758634599;"Absolute distance";"Cover + Spatial 
 structure";19
"111";536.548933423327;"Absolute distance";"Spatial 
 structure";19
"112";419.774302712451;"Relative distance";"Cover";19
"113";366.246820816456;"Relative distance";"Cover + Spatial 
 structure";19
"114";531.980821439418;"Relative distance";"Spatial 
 structure";19
"115";614.607028289155;"Absolute distance";"Cover";20
"116";570.635498275137;"Absolute distance";"Cover + Spatial 
 structure";20
"117";634.306794743189;"Absolute distance";"Spatial 
 structure";20
"118";520.88860113958;"Relative distance";"Cover";20
"119";481.672648113941;"Relative distance";"Cover + Spatial 
 structure";20
"120";610.221616212609;"Relative distance";"Spatial 
 structure";20
"121";565.428903209526;"Absolute distance";"Cover";21
"122";519.174195192908;"Absolute distance";"Cover + Spatial 
 structure";21
"123";586.180875794018;"Absolute distance";"Spatial 
 structure";21
"124";458.342919279093;"Relative distance";"Cover";21
"125";416.153662103013;"Relative distance";"Cover + Spatial 
 structure";21
"126";541.860683497026;"Relative distance";"Spatial 
 structure";21
"127";476.234173928166;"Absolute distance";"Cover";22
"128";428.197126441162;"Absolute distance";"Cover + Spatial 
 structure";22
"129";529.406395235986;"Absolute distance";"Spatial 
 structure";22
"130";369.920787339627;"Relative distance";"Cover";22
"131";329.583108644155;"Relative distance";"Cover + Spatial 
 structure";22
"132";523.74532760458;"Relative distance";"Spatial 
 structure";22
"133";531.499416775949;"Absolute distance";"Cover";23
"134";485.872974538206;"Absolute distance";"Cover + Spatial 
 structure";23
"135";554.626585679552;"Absolute distance";"Spatial 
 structure";23
"136";448.329691929764;"Relative distance";"Cover";23
"137";409.858497277523;"Relative distance";"Cover + Spatial 
 structure";23
"138";547.718499973578;"Relative distance";"Spatial 
 structure";23
"139";575.38155199431;"Absolute distance";"Cover";24
"140";525.892481785732;"Absolute distance";"Cover + Spatial 
 structure";24
"141";573.357032482078;"Absolute distance";"Spatial 
 structure";24
"142";474.76450852445;"Relative distance";"Cover";24
"143";430.820720602567;"Relative distance";"Cover + Spatial 
 structure";24
"144";535.430988210301;"Relative distance";"Spatial 
 structure";24
"145";558.457231857312;"Absolute distance";"Cover";25
"146";510.415478422759;"Absolute distance";"Cover + Spatial 
 structure";25
"147";583.639725415428;"Absolute distance";"Spatial 
 structure";25
"148";468.147529299349;"Relative distance";"Cover";25
"149";426.602075010061;"Relative distance";"Cover + Spatial 
 structure";25
"150";566.894348053416;"Relative distance";"Spatial 
 structure";25
"151";564.632107012488;"Absolute distance";"Cover";26
"152";486.946441482497;"Absolute distance";"Cover + Spatial 
 structure";26
"153";547.926253892957;"Absolute distance";"Spatial 
 structure";26
"154";476.352998486822;"Relative distance";"Cover";26
"155";407.137382471839;"Relative distance";"Cover + Spatial 
 structure";26
"156";534.939605850395;"Relative distance";"Spatial 
 structure";26
"157";619.222344014616;"Absolute distance";"Cover";27
"158";570.400909732279;"Absolute distance";"Cover + Spatial 
 structure";27
"159";631.669031411018;"Absolute distance";"Spatial 
 structure";27
"160";526.878382737728;"Relative distance";"Cover";27
"161";481.526676487933;"Relative distance";"Cover + Spatial 
 structure";27
"162";606.333701786683;"Relative distance";"Spatial 
 structure";27
"163";554.984957225003;"Absolute distance";"Cover";28
"164";499.86988417272;"Absolute distance";"Cover + Spatial 
 structure";28
"165";573.16435365545;"Absolute distance";"Spatial 
 structure";28
"166";454.148924547977;"Relative distance";"Cover";28
"167";406.057397159936;"Relative distance";"Cover + Spatial 
 structure";28
"168";551.529336709599;"Relative distance";"Spatial 
 structure";28
"169";589.823959960494;"Absolute distance";"Cover";29
"170";553.960979155064;"Absolute distance";"Cover + Spatial 
 structure";29
"171";623.207104615825;"Absolute distance";"Spatial 
 structure";29
"172";485.381131292156;"Relative distance";"Cover";29
"173";451.030960998802;"Relative distance";"Cover + Spatial 
 structure";29
"174";587.35717175166;"Relative distance";"Spatial 
 structure";29
"175";558.159827366869;"Absolute distance";"Cover";30
"176";503.58905605026;"Absolute distance";"Cover + Spatial 
 structure";30
"177";575.990161275258;"Absolute distance";"Spatial 
 structure";30
"178";462.507285893131;"Relative distance";"Cover";30
"179";414.818756397622;"Relative distance";"Cover + Spatial 
 structure";30
"180";559.121353222516;"Relative distance";"Spatial 
 structure";30
"181";520.881747303159;"Absolute distance";"Cover";31
"182";455.584327471075;"Absolute distance";"Cover + Spatial 
 structure";31
"183";535.690081034649;"Absolute distance";"Spatial 
 structure";31
"184";424.293774767636;"Relative distance";"Cover";31
"185";366.537868831443;"Relative distance";"Cover + Spatial 
 structure";31
"186";517.477909877375;"Relative distance";"Spatial 
 structure";31
"187";564.423004683656;"Absolute distance";"Cover";32
"188";493.300901827396;"Absolute distance";"Cover + Spatial 
 structure";32
"189";575.170911265222;"Absolute distance";"Spatial 
 structure";32
"190";464.444085960998;"Relative distance";"Cover";32
"191";400.221450691143;"Relative distance";"Cover + Spatial 
 structure";32
"192";551.253433833475;"Relative distance";"Spatial 
 structure";32
"193";563.556150780653;"Absolute distance";"Cover";33
"194";522.680192279913;"Absolute distance";"Cover + Spatial 
 structure";33
"195";572.063041572487;"Absolute distance";"Spatial 
 structure";33
"196";461.764510680251;"Relative distance";"Cover";33
