"rho_p";"nb_neigh";"clustering";"skewness";"variance";"moran_I";"Spectral_ratio";"PLR";"PL_expo";"cv_psd";"fmax_psd";"Site_ID";"Method";"Type"
"2";0.074476;1.27124650542817;2.85310090054313;1.74634080589313;0.0112301498397436;0.152891862838448;1.75078951597221;0.460146304410936;0.430593578491098;0.919264542319654;-6.46732717982803;2;"rejection";"Obs"
"1";0.13896049382716;1.83001388904116;2.5942803679817;1.20461095891593;0.0271498638363448;0.287635275188956;2.51952816764101;0.524597610765963;0.558438319224054;1.18928426235568;-5.35122577575296;2;"rejection";"Sim"
"3";0.103624;1.31323955549376;2.54183552751954;1.3023522543645;0.0145625985576923;0.151679187749301;1.69313929620289;0.437233981509973;0.800941141080433;0.961160008679144;-6.30013460550776;3;"rejection";"Obs"
"11";0.161834567901235;1.80802783405873;2.43035915114907;0.978816037664016;0.0279757418218927;0.25166426447923;2.30708862226177;0.477666643300478;0.553884247716753;1.18785224759709;-5.34709275932327;3;"rejection";"Sim"
"4";0.095884;1.28224525720042;2.60676536202018;1.42840652845208;0.013638813301282;0.138956566946673;1.67170904422052;0.483813401120408;0.745914329600746;0.95892106965192;-6.27113363903008;4;"rejection";"Obs"
"12";0.156687654320988;1.80789033145176;2.46361385283984;1.03058201234734;0.027649313821266;0.259988337807003;2.34533181721601;0.505328537074436;0.551791575588166;1.19253868400827;-5.33755039656148;4;"rejection";"Sim"
"5";0.166768;1.45750589689787;2.17047060054897;0.850287185063657;0.0207417099358974;0.131748115231478;1.57235903070952;0.443594303293668;1.03185221812863;1.10391983771501;-5.92917470931617;5;"rejection";"Obs"
"13";0.208144444444444;1.7782787463548;2.14871123541148;0.616937547919782;0.0283431846788752;0.177034846608052;1.86141781142475;0.457763318622349;0.525443378500147;1.18780872034868;-5.306113763936;5;"rejection";"Sim"
"6";0.191104;1.50183094245116;2.06378205079833;0.705710685071331;0.0224129399038462;0.130434972699887;1.50019689707766;0.398708804332091;1.03963013144668;1.14598899700752;-5.78000722338554;6;"rejection";"Obs"
"14";0.225702469135802;1.77414189025876;2.06594547653062;0.520691931629467;0.027912283723564;0.153453040791907;1.70162100237613;0.423494438834767;0.539479379793866;1.20585037403704;-5.23807292908129;6;"rejection";"Sim"
"7";0.165856;1.44494006188516;2.16793102791124;0.859508264368067;0.0203588605769231;0.13804275320686;1.58920446615789;0.495864144587067;0.982981229129578;1.11005802526499;-5.89499471111376;7;"rejection";"Obs"
"15";0.207427160493827;1.77151993701971;2.1480755988205;0.618786407760993;0.0281792525810405;0.179015082783218;1.86043680988146;0.516111548711172;0.515968622941027;1.18799278846757;-5.32889235788045;7;"rejection";"Sim"
"8";0.227384;1.58778166976158;1.94442028947224;0.544308826614683;0.0244691538461538;0.115054647227447;1.4279763470225;0.517687878140095;1.11103707341528;1.23902892623328;-5.59350396832336;8;"rejection";"Obs"
"16";0.260633333333333;1.82067868545808;1.94583197967824;0.375753324540434;0.0282638057861934;0.133043435722142;1.54203218402544;0.536377217263281;0.642322512671568;1.28273752072004;-5.13045122466301;8;"rejection";"Sim"
"9";0.251036;1.64668112883178;1.88160479318578;0.45607535628453;0.025564375;0.118037090095148;1.39059890079771;0.475422096698226;1.19598049393341;1.32143268571282;-5.39126577237088;9;"rejection";"Obs"
"17";0.286141975308642;1.86491656803678;1.87619104159939;0.305159444647612;0.0286462935172946;0.12229839722194;1.4391391050524;0.490497226423761;0.72999967853472;1.36268880629155;-4.97272675088827;9;"rejection";"Sim"
"10";0.236424;1.60286506781089;1.91468502422732;0.493609586980465;0.0245395056089744;0.110190580428348;1.37805893807375;0.513577664674528;1.14226513410306;1.27635489164726;-5.44868269190359;10;"rejection";"Obs"
"18";0.270332098765432;1.83508865247507;1.91691862418499;0.333373237577545;0.028282702069217;0.126785927453761;1.48926730968337;0.535568338287282;0.673870739477243;1.31119595379041;-5.07153051527741;10;"rejection";"Sim"
"111";0.287564;1.72751809685641;1.7934704407284;0.357376846555025;0.02668596875;0.10760834290526;1.30972079588332;0.522623778161979;1.23261799200223;1.42193394828946;-5.18073625463679;11;"rejection";"Obs"
"19";0.314756790123457;1.91424023929782;1.80673047598839;0.225269407174604;0.0290281609859179;0.107239818121191;1.33535857115594;0.545389997488557;0.835173882640393;1.46470350806292;-4.79606913783844;11;"rejection";"Sim"
"121";0.312428;1.78264389020538;1.74195855324418;0.286926986307839;0.0274183469551282;0.0916116947835996;1.23267731691268;0.512902630901946;1.24700277567967;1.51011177399366;-5.08714997043499;12;"rejection";"Obs"
"110";0.335139506172839;1.94113315641252;1.75778911530995;0.170161475710758;0.0283691391211308;0.0914941467652335;1.22292845414469;0.526304163371991;0.875101199974763;1.51527427199315;-4.69759672822884;12;"rejection";"Sim"
"131";0.286164;1.72472614477575;1.7966165709449;0.347524053851882;0.0265407171474359;0.100808990085202;1.27870881159671;0.441884278750771;1.18139513544888;1.39418342402632;-5.25944218461359;13;"rejection";"Obs"
"112";0.313786419753086;1.90055268905096;1.80274148151757;0.226085642048949;0.0283408760726263;0.101686469409833;1.29387958966987;0.454372172741592;0.79905683190563;1.42041382024608;-4.85390432324448;13;"rejection";"Sim"
"141";0.33828;1.84533783625366;1.69676990414017;0.226600944010771;0.0278144711538462;0.0872792728272196;1.2051545184613;0.683326669360796;1.30169351176859;1.64618892693854;-4.86155446639985;14;"rejection";"Obs"
"113";0.359522222222222;1.98506963782666;1.70959666434713;0.120758201650397;0.0277202473189689;0.0890950631261991;1.13137567190307;0.681702635589072;0.990511167705234;1.64383068612319;-4.50344488600955;14;"rejection";"Sim"
"151";0.357136;1.89681583898743;1.67027337351484;0.165814212303573;0.0278183453525641;0.0875065525283358;1.16393701896666;0.557377828756797;1.29008479425444;1.7602270861656;-4.51770835065302;15;"rejection";"Obs"
