"rho_p";"nb_neigh";"clustering";"skewness";"variance";"moran_I";"Spectral_ratio";"PLR";"PL_expo";"CV_PSD";"fmax_PSD";"Resolution";"ID"
"1";0.130295222290156;3.12820512820513;3.17841186112523;2.15781374022417;0.0636181224082974;0.496479632778926;5.31962527232069;0.400325228843987;0.716463849098675;2.07799955626031;-4.62270444727934;"No change";1
"2";0.130295222290156;2.20969560315671;2.8308072324366;1.38020947177801;0.0560060798131712;0.376715818634849;3.90003990778631;0.72976184557268;0.66447909195497;1.85144064265324;-4.21575895400074;"/2";1
"3";0.129868412352047;1.57081545064378;2.492828433672;0.949549965160653;0.0534483995037966;0.375530196795705;3.13642616215756;0.707298083848276;0.920416596885066;1.86715230151627;-3.78916130568814;"/3";1
"11";0.232241250259268;3.83823243893915;2.80499053406919;1.26426111132543;0.161353492418048;0.891887979853209;8.18501821439981;0.456047201880851;1.21390799837386;2.76743351473719;-2.55804738619466;"No change";10
"21";0.23298011322398;3.67758271438217;2.75905784528378;1.11908998415551;0.156967706075961;0.796872408291158;7.14812256143263;0.649196936920356;0.869033674039386;2.52428254598882;-2.50440158745351;"/2";10
"31";0.232241250259268;3.52338348922326;2.71940032226543;0.992743583284338;0.149523114113681;0.719451776985151;6.01852825737434;0.655019540488252;1.30832928414403;2.47712055815835;-2.46824563418208;"/3";10
"12";0.482578319686721;3.26672506800682;1.9124000255913;0.0566226841312705;0.100623137560423;0.33449884709845;4.50428187540979;0.646648631292974;1.35284635741541;5.4587636160076;-2.09703941007288;"No change";100
"22";0.482578319686721;2.25344036697248;1.5410701511758;-0.592404209674889;0.0516953878342099;0.382093227943907;3.06063516468873;0.839998027330344;1.46700588431765;7.52790788925285;-0.662645254158582;"/2";100
"32";0.482857142857143;1.31320754716981;1.00050709334864;-1.0246952445814;0.0287132277849865;0.400264422919759;2.34452244059639;1;1.70983604589697;4.30915551663218;-0.219832711666908;"/3";100
"13";0.635056959772161;3.47789222899587;1.70046701264801;-0.462376199153694;0.0920073062273634;0.283496826011217;4.39400522718988;0.824442426292991;1.38888035957687;9.09130155227552;-0.507065051991909;"No change";101
"23";0.635056959772161;2.71276595744681;1.45200934657211;-1.2103389507438;0.0305824960963182;0.338302112261497;2.66744261513873;0.822608484425848;1.52330137376693;5.95766723524826;-0.254077230270013;"/2";101
"33";0.637165532879819;1.94462755438365;1.11579626392028;-1.75665471451537;0.0101127345852557;0.386931433199057;2.0545371548739;1;1.39602193464767;2.44158353083406;-0.0965558532926762;"/3";101
"14";0.37121751512994;2.99616398945097;2.08829989431603;0.403157650346211;0.0772398499281537;0.157147300262692;3.8465369843321;0.49695430678285;1.32286599340717;3.28473822453305;-3.43041136973843;"No change";102
"24";0.37121751512994;1.54304635761589;1.42472571077797;-0.257471551307516;0.0381704402257287;0.270235839450831;2.57988643200339;0.784184280111284;1.43926303261067;7.69610263340427;-1.02461239335077;"/2";102
"34";0.370045351473923;0.660968660968661;0.580080857504447;-0.722791062412116;0.0256428379409362;0.304206294771789;1.57319218780707;0.914714817600975;1.54092170981646;4.92460410562632;-0.369585921405637;"/3";102
"15";0.291958625291959;3.57850193050193;2.5060874386278;0.90303042506866;0.147856083471306;0.60878663032313;6.02505190637527;0.401085802570794;NA;2.52305898920168;-3.08085902028359;"No change";103
"25";0.291724125417332;3.05673316708229;2.34929345248879;0.559208834543304;0.113258734371016;0.306943435320042;4.71012343951722;0.471731820468156;NA;2.39125214910345;-2.93573117569296;"/2";103
"35";0.291958625291959;2.47442281575373;2.13715034402695;0.318631640801552;0.0782227754884005;0.193743653453341;3.51164766266516;0.530389648827002;NA;2.6015864487585;-2.56470590036965;"/3";103
"16";0.389055722389056;3.65342357795188;2.23969739494702;0.455694109497905;0.17264402562577;0.617891239290854;6.08889417769384;0.207593429986373;0.456446477647405;1.95107673913722;-3.02621314313208;"No change";104
"26";0.388363695746843;3.22730329522529;2.11745991363238;0.164841585077202;0.122682538981721;0.308917532388874;4.64278722976299;0.479857956385523;NA;2.23447585720844;-2.5549472881234;"/2";104
"36";0.389055722389056;2.71688792837295;1.94351978170119;-0.0529623460268314;0.0853490511331947;0.143720423261355;3.47632988662113;0.54904322827335;NA;2.61524812926388;-2.11051760508548;"/3";104
"17";0.247472697923148;3.49639239122513;2.64818670602757;1.12264755121643;0.126657930898956;0.563028302340094;5.79212520334924;0.366911115124044;NA;2.10950375310171;-3.76618143478531;"No change";105
"27";0.248076643925098;2.85216718266254;2.44209665275849;0.730756077781452;0.0973471172470327;0.24504530914466;4.53412285379553;0.446110649739006;NA;2.58516262847133;-2.98907715639825;"/2";105
"37";0.247472697923148;2.14716525934861;2.1606035026306;0.407505697414712;0.0682414320290478;0.129227164445225;3.25154768732672;0.478278017476125;0.508159393604207;2.44860617945323;-2.83703526373184;"/3";105
"18";0.653037190082645;3.50953902616509;1.68160589595022;-0.583169228868609;0.0925076685073134;0.274175674306378;4.40808777740132;0.719703817598258;1.2915295144954;6.37874187565566;-0.475406628948405;"No change";106
