"p";"q";"Pooling";"Site_ID";"Method";"Type";"Scale_obs"
"1";0.750184482054015;0.125871600376957;5;1;"Rejection";"Sim";5
"6187590";0.78243401603865;0.0281878592387366;5;1;"Rejection";"Obs";5
"11";0.750553773406783;0.124817994883844;4;1;"Rejection";"Sim";4
"6187589";0.78243401603865;0.0281878592387366;4;1;"Rejection";"Obs";4
"12";0.757838434677589;0.10510008611349;3;1;"Rejection";"Sim";3
"6187588";0.78243401603865;0.0281878592387366;3;1;"Rejection";"Obs";3
"13";0.759675457190071;0.0984934805645068;2;1;"Rejection";"Sim";2
"6187587";0.78243401603865;0.0281878592387366;2;1;"Rejection";"Obs";2
"14";0.760349900750767;0.0991676517544016;1;1;"Rejection";"Sim";1
"6187586";0.78243401603865;0.0281878592387366;1;1;"Rejection";"Obs";1
"15";0.6359453239748;0.641586610638423;5;2;"Rejection";"Sim";5
"670290";0.643520362550594;0.650258132599475;5;2;"Rejection";"Obs";5
"16";0.640618273815228;0.637654607018724;4;2;"Rejection";"Sim";4
"670289";0.643520362550594;0.650258132599475;4;2;"Rejection";"Obs";4
"17";0.631270382525142;0.647615185711418;3;2;"Rejection";"Sim";3
"670288";0.643520362550594;0.650258132599475;3;2;"Rejection";"Obs";3
"18";0.635157571950536;0.643672157636787;2;2;"Rejection";"Sim";2
"670287";0.643520362550594;0.650258132599475;2;2;"Rejection";"Obs";2
"19";0.632604374130487;0.644543579949203;1;2;"Rejection";"Sim";1
"670286";0.643520362550594;0.650258132599475;1;2;"Rejection";"Obs";1
"110";0.549604349790754;0.657172998847976;5;3;"Rejection";"Sim";5
"5862990";0.532644922967497;0.683197050199978;5;3;"Rejection";"Obs";5
"111";0.54705835662598;0.661031122289721;4;3;"Rejection";"Sim";4
"5862989";0.532644922967497;0.683197050199978;4;3;"Rejection";"Obs";4
"112";0.539134325075777;0.672842925204146;3;3;"Rejection";"Sim";3
"5862988";0.532644922967497;0.683197050199978;3;3;"Rejection";"Obs";3
"113";0.54295775549744;0.667912435378717;2;3;"Rejection";"Sim";2
"5862987";0.532644922967497;0.683197050199978;2;3;"Rejection";"Obs";2
"114";0.528004857752371;0.690868390245337;1;3;"Rejection";"Sim";1
"5862986";0.532644922967497;0.683197050199978;1;3;"Rejection";"Obs";1
"115";0.780938074027321;0.72833628264195;5;4;"Rejection";"Sim";5
"3426425";0.812322467443241;0.704082201487972;5;4;"Rejection";"Obs";5
"116";0.781104829811568;0.72768218183931;4;4;"Rejection";"Sim";4
"3426424";0.812322467443241;0.704082201487972;4;4;"Rejection";"Obs";4
"117";0.794471899411171;0.719165296422319;3;4;"Rejection";"Sim";3
"3426423";0.812322467443241;0.704082201487972;3;4;"Rejection";"Obs";3
"118";0.794254200027227;0.719996570321054;2;4;"Rejection";"Sim";2
"3426422";0.812322467443241;0.704082201487972;2;4;"Rejection";"Obs";2
"119";0.814452354787236;0.711198295293757;1;4;"Rejection";"Sim";1
"3426421";0.812322467443241;0.704082201487972;1;4;"Rejection";"Obs";1
"120";0.751431134182668;0.284416739120427;5;5;"Rejection";"Sim";5
"6374470";0.782393241533135;0.223706304225068;5;5;"Rejection";"Obs";5
"121";0.758757104673732;0.271155678499072;4;5;"Rejection";"Sim";4
"6374469";0.782393241533135;0.223706304225068;4;5;"Rejection";"Obs";4
"122";0.740177055123724;0.308078931265942;3;5;"Rejection";"Sim";3
"6374468";0.782393241533135;0.223706304225068;3;5;"Rejection";"Obs";3
"123";0.735818963791122;0.314491343304045;2;5;"Rejection";"Sim";2
"6374467";0.782393241533135;0.223706304225068;2;5;"Rejection";"Obs";2
"124";0.748853855519716;0.288323947508835;1;5;"Rejection";"Sim";1
"6374466";0.782393241533135;0.223706304225068;1;5;"Rejection";"Obs";1
"125";0.837771504239602;0.196625307699444;5;6;"Rejection";"Sim";5
"6211015";0.888806425490168;0.0862193966353168;5;6;"Rejection";"Obs";5
"126";0.843378405089315;0.185974680644798;4;6;"Rejection";"Sim";4
"6211014";0.888806425490168;0.0862193966353168;4;6;"Rejection";"Obs";4
"127";0.844570944622883;0.182648150579151;3;6;"Rejection";"Sim";3
"6211013";0.888806425490168;0.0862193966353168;3;6;"Rejection";"Obs";3
"128";0.85579378120396;0.163122982803282;2;6;"Rejection";"Sim";2
"6211012";0.888806425490168;0.0862193966353168;2;6;"Rejection";"Obs";2
"129";0.868448385453236;0.144071724808788;1;6;"Rejection";"Sim";1
"6211011";0.888806425490168;0.0862193966353168;1;6;"Rejection";"Obs";1
"130";0.779055905595595;0.185900109953042;5;7;"Rejection";"Sim";5
"2488450";0.775532870849856;0.180385762056798;5;7;"Rejection";"Obs";5
