"rho_p";"nb_neigh";"clustering";"skewness";"variance";"moran_I";"Spectral_ratio";"PLR";"PL_expo";"cv_psd";"fmax_psd";"Site_ID";"Method";"Type"
"1";0.130295222290156;3.12820512820513;3.17841186112523;2.15781374022417;0.0636181224082974;0.496479632778926;5.31962527232069;0.400325228843987;0.716463849100086;2.07799955626031;-4.62270444727934;1;"rejection";"Obs"
"11";0.127539506172839;3.11258850971309;3.19749048920506;1.99166331362292;0.0641997942048227;0.488826940707313;5.4647013557818;0.454276322948761;0.791911075863883;1.6736611216635;-4.32582832195336;1;"rejection";"Sim"
"2";0.370752904183771;3.44048530537723;2.2278320033071;0.528696284401554;0.142893108226356;0.567310306099155;5.62669108480876;0.556079525674639;1.3326943487318;4.0462598678648;-2.53772272522389;2;"rejection";"Obs"
"12";0.373433333333333;3.49684254087955;2.23789227766642;0.452579115991232;0.140531943180695;0.550691443478031;5.46778214347044;0.578456659572772;1.37781853312079;3.5422565654316;-2.41436003033451;2;"rejection";"Sim"
"3";0.365359420036684;3.34688022950036;2.21490233463681;0.581284374978187;0.130649146818922;0.476561528816583;5.15430066159176;0.548224110754227;1.3433552063222;3.04641723443456;-3.06059110685306;3;"rejection";"Obs"
"13";0.35731975308642;3.33427152217717;2.2341097806352;0.497108707573769;0.128589137337302;0.457367699455502;5.21791658248846;0.562218595495083;1.33153757503654;2.82748993064091;-2.88898563510787;3;"rejection";"Sim"
"4";0.36945954963973;3.65818057555713;2.29267993113071;0.532626061333198;0.173185960008278;0.673589671601554;6.38593524901046;0.619705845160139;0.790322723847768;2.69202992947502;-2.85410847062598;4;"rejection";"Obs"
"14";0.36852962962963;3.67923155276374;2.30159831749382;0.521432305497977;0.166079129135508;0.625217345179543;6.38849089984254;0.613260788871349;1.00004688216354;2.43649238727359;-3.09552154629783;4;"rejection";"Sim"
"5";0.35349764178593;3.63274573330952;2.32986722742274;0.599506533330862;0.166808780396764;0.646035597396578;6.262709626409;0.0728866774374723;NA;1.67334043600477;-3.84016950286215;5;"rejection";"Obs"
"15";0.353654320987654;3.65969372387028;2.33735177597139;0.58562440900519;0.160798358942591;0.607501701238977;6.24468750243192;0.243655800696323;NA;1.71824882697031;-3.95025979245041;5;"rejection";"Sim"
"6";0.429249068888709;3.58385680371436;2.12215748835914;0.279856280908972;0.166568000815286;0.582008917256183;5.58398487689793;0.382811628707847;1.34687116889699;2.98455754787496;-2.99167339177738;6;"rejection";"Obs"
"16";0.430492592592593;3.64655219520535;2.13698297233746;0.260600821506786;0.160222349440193;0.518639331340366;5.74481673173256;0.416461857790607;1.243923338579;2.74225999716757;-2.99617875408474;6;"rejection";"Sim"
"7";0.202119309262166;2.9765496639283;2.68966191484506;1.39026171110616;0.0759617193980872;0.321763570325306;4.57487200762854;0.457213528275072;0.719492637905799;1.93410504228919;-4.55294145195116;7;"rejection";"Obs"
"17";0.200696296296296;2.99650255346888;2.70471077177378;1.22199604330238;0.0786947100839311;0.33881829301132;4.77859506893086;0.471200143986136;0.711058737963448;1.55551588475806;-4.45480100431883;7;"rejection";"Sim"
"8";0.267026929114841;3.09847371396269;2.45131540747197;0.984796236994378;0.0932847916056702;0.376591392209496;4.68217034616237;0.484025093547127;1.36550495680873;2.54830323609789;-3.63150638178141;8;"rejection";"Obs"
"18";0.277148148148148;3.13818984008165;2.42936864075997;0.82412264601404;0.102994754001366;0.38051465648571;4.94164884465733;0.53401992128251;1.238359654801;2.17658109524152;-3.63231449887871;8;"rejection";"Sim"
"9";0.140683492331844;2.81502145922747;2.99621253176789;1.89692250779994;0.0514347277119016;0.327817305092841;4.46114481226248;0.505189741587485;0.774843977316102;2.1626573453472;-4.45737082156586;9;"rejection";"Obs"
"19";0.144628395061728;2.96960748882866;3.02665409761554;1.70674999078709;0.0630013190360852;0.383103611183835;4.97089616704342;0.542513335497146;0.680444452336235;1.55134713881173;-4.60434789211406;9;"rejection";"Sim"
"10";0.232241250259268;3.83823243893915;2.80499053406918;1.26426111132543;0.161353492418048;0.891887979853209;8.18501821439981;0.456047201880851;1.21390799837386;2.76743351473719;-2.55804738619466;10;"rejection";"Obs"
"110";0.240413580246914;3.77290024783765;2.76442069701989;1.2153005570321;0.151507352609338;0.806214453897666;8.04617781426558;0.568186288258221;1.31949501163219;2.7568820473992;-2.64773104917703;10;"rejection";"Sim"
